0,1,2,3,ID,condition
"(80.17913371544648, 16.645759268664733)","(2728.5865921787713, 96.25107015889171)","(25.067764637596838, 1979.2228469854172)","(2661.2282521947327, 2066.4825146920125)",AD08_d02_apr21,search
"(41.529347747224506, 10.480483203947188)","(2692.0959878110716, 79.10850322861506)","(18.653341072335138, 2000.693063919321)","(2658.5445113545666, 2058.6456141623744)",AD08_d03_apr16,search
"(71.17873467314791, 8.847457012261657)","(2714.096822172241, 76.69190306899827)","(10.872560400493171, 2004.9818254371328)","(2661.328919683668, 2047.196147427991)",AD08_d04_apr01,search
"(83.031596894725, 13.296996299789953)","(2729.9553435391426, 64.28589566857772)","(29.043350504243904, 1995.8653776391209)","(2689.4641587462816, 2034.8568889211351)",AD08_d05_apr05,search
"(51.27972865123661, 18.096967278531793)","(2696.0123703112536, 83.64365522745402)","(11.64684756584154, 2008.8870710295291)","(2667.049880287311, 2057.6660015961693)",AD08_d06_apr22,search
"(63.39345570630451, 13.357070303997716)","(2694.7306101719523, 69.0865921787713)","(7.663933831531267, 1981.9647754480159)","(2681.174780526737, 2046.731517086266)",AD08_d07_apr10,search
"(32.02434158020719, 21.03232242617696)","(2675.0411013567445, 52.875897845171494)","(13.828012769353222, 2019.5957701516363)","(2662.9102154828415, 2039.308459696728)",AD08_d08_apr13,search
"(26.482913734310273, 27.83403468040342)","(2685.750126968004, 44.06707538271803)","(25.007182761372633, 2015.6436552274542)","(2672.4685482115647, 1994.9834216063268)",AD09_d01_apr06,search
"(31.528912428353465, 29.018102009722497)","(2688.1580933033442, 87.43934557063085)","(20.767104403975623, 2039.9388014220422)","(2652.7978669375316, 2053.775411739099)",AD09_d02_apr05,search
"(23.59072770804562, 36.63357034027422)","(2671.56794602046, 24.84513531161565)","(30.958499600957225, 2011.1964376405717)","(2675.988609156207, 1992.0402307190018)",AD09_d03_apr04,search
"(48.13763331640405, 25.33182180947597)","(2668.8660668939997, 47.85957338750677)","(21.104331422767018, 1991.253609518973)","(2644.8364652107666, 2019.7887615178122)",AD09_d04_apr19,search
"(35.04095625045318, 39.00054414858869)","(2680.97435246318, 23.9240005804254)","(18.456758325473174, 2021.566023362113)","(2667.4054632518328, 2032.1196038598275)",AD09_d05_apr13,search
