drawing,image,condition,participant,RT,score,response
AD32_d04_apr26,a-pr26,search,AD32,5457,0.5,4
AD32_d05_apr32,a-pr32,search,AD32,3882,0,3
AD31_d03_apr13,a-pr13,search,AD31,4636,0.5,4
AD26_d07_apr06,a-pr6,search,AD26,13549,-1,1
AD26_d05_apr16,a-pr16,search,AD26,2933,0,3
AD27_d07_apr10,a-pr10,search,AD27,2213,1,5
AD34_d06_apr16,a-pr16,search,AD34,2711,0,3
AD26_d09_apr26,a-pr26,search,AD26,2634,-1,1
AD29_d06_apr32,a-pr32,search,AD29,2419,0.5,4
AD28_d04_apr16,a-pr16,search,AD28,2073,-1,1
AD32_d01_apr13,a-pr13,search,AD32,3673,0,3
AD29_d10_apr26,a-pr26,search,AD29,4008,0,3
AD29_d02_apr22,a-pr22,search,AD29,1406,0.5,4
AD36_d04_apr05,a-pr5,search,AD36,3163,na,6
AD30_d10_apr26,a-pr26,search,AD30,3496,na,6
AD31_d02_apr26,a-pr26,search,AD31,2494,1,5
AD35_d08_apr05,a-pr5,search,AD35,3754,1,5
AD35_d04_apr22,a-pr22,search,AD35,1610,0.5,4
AD25_d09_apr10,a-pr10,search,AD25,3651,-0.5,2
AD35_d02_apr13,a-pr13,search,AD35,1574,0,3
AD30_d12_apr14,a-pr14,search,AD30,3069,0,3
AD30_d04_apr19,a-pr19,search,AD30,2204,0,3
AD23_d06_apr13,a-pr13,search,AD23,3000,0,3
AD28_d02_apr04,a-pr4,search,AD28,2741,0.5,4
AD29_d04_apr04,a-pr4,search,AD29,3013,0,3
AD27_d06_apr19,a-pr19,search,AD27,3652,0.5,4
AD26_d02_apr19,a-pr19,search,AD26,1632,-0.5,2
AD32_d07_apr10,a-pr10,search,AD32,2851,0,3
AD25_d04_apr16,a-pr16,search,AD25,3577,-1,1
AD34_d03_apr06,a-pr6,search,AD34,2218,-0.5,2
AD25_d10_apr04,a-pr4,search,AD25,3877,na,6
AD32_d02_apr23,a-pr23,search,AD32,44668,-0.5,2
AD33_d04_apr26,a-pr26,search,AD33,4867,-1,1
AD25_d03_apr01,a-pr1,search,AD25,9256,-0.5,2
AD32_d01_apr13,a-pr13,search,AD32,13482,0,3
AD36_d04_apr05,a-pr5,search,AD36,7596,-1,1
AD31_d07_apr23,a-pr23,search,AD31,6120,-1,1
AD26_d10_apr10,a-pr10,search,AD26,5671,-0.5,2
AD28_d05_apr19,a-pr19,search,AD28,10183,0,3
AD32_d05_apr32,a-pr32,search,AD32,5719,0,3
AD28_d02_apr04,a-pr4,search,AD28,5857,0.5,4
AD31_d06_apr01,a-pr1,search,AD31,4997,0,3
AD24_d06_apr01,a-pr1,search,AD24,4028,0,3
AD34_d03_apr06,a-pr6,search,AD34,4055,-0.5,2
AD25_d04_apr16,a-pr16,search,AD25,2086,-0.5,2
AD24_d02_apr22,a-pr22,search,AD24,1548,0,3
AD35_d01_apr10,a-pr10,search,AD35,4230,0.5,4
AD25_d02_apr06,a-pr6,search,AD25,3333,-0.5,2
AD27_d08_apr01,a-pr1,search,AD27,4750,0.5,4
AD35_d03_apr01,a-pr1,search,AD35,4870,-0.5,2
AD27_d05_apr04,a-pr4,search,AD27,5969,1,5
AD30_d04_apr19,a-pr19,search,AD30,4060,0.5,4
AD34_d04_apr05,a-pr5,search,AD34,5766,-0.5,2
AD29_d10_apr26,a-pr26,search,AD29,5055,0,3
AD26_d08_apr22,a-pr22,search,AD26,4778,0.5,4
AD31_d02_apr26,a-pr26,search,AD31,4339,0,3
AD29_d02_apr22,a-pr22,search,AD29,4552,0,3
AD30_d10_apr26,a-pr26,search,AD30,4004,-0.5,2
AD25_d01_apr05,a-pr5,search,AD25,3864,0,3
AD24_d09_apr04,a-pr4,search,AD24,2565,0,3
AD32_d03_apr21,a-pr21,search,AD32,5128,0.5,4
AD23_d06_apr13,a-pr13,search,AD23,3502,0,3
AD34_d07_apr01,a-pr1,search,AD34,5901,0.5,4
AD31_d03_apr13,a-pr13,search,AD31,5365,0.5,4
AD33_d03_apr01,a-pr1,search,AD33,3172,-0.5,2
AD34_d05_apr13,a-pr13,search,AD34,3100,-0.5,2
AD34_d01_apr22,a-pr22,search,AD34,1573,0,3
AD28_d03_apr22,a-pr22,search,AD28,1484,0,3
AD31_d04_apr05,a-pr5,search,AD31,4848,0,3
AD26_d03_apr04,a-pr4,search,AD26,6046,0,3
AD31_d10_apr10,a-pr10,search,AD31,4619,-0.5,2
AD27_d04_apr30,a-pr30,search,AD27,8139,0,3
AD31_d01_apr22,a-pr22,search,AD31,5882,0.5,4
AD32_d06_apr01,a-pr1,search,AD32,8573,-0.5,2
AD26_d07_apr06,a-pr6,search,AD26,3154,0,3
AD26_d06_apr13,a-pr13,search,AD26,2515,-0.5,2
AD36_d02_apr01,a-pr1,search,AD36,2589,-0.5,2
AD32_d04_apr26,a-pr26,search,AD32,4916,0.5,4
AD29_d04_apr04,a-pr4,search,AD29,5571,0.5,4
AD30_d01_apr23,a-pr23,search,AD30,4431,-0.5,2
AD26_d09_apr26,a-pr26,search,AD26,2153,-0.5,2
AD30_d08_apr13,a-pr13,search,AD30,2427,-0.5,2
AD24_d08_apr10,a-pr10,search,AD24,1967,-0.5,2
AD33_d01_apr05,a-pr5,search,AD33,3221,-0.5,2
AD29_d03_apr01,a-pr1,search,AD29,2227,-0.5,2
AD30_d02_apr21,a-pr21,search,AD30,2604,0.5,4
AD27_d02_apr16,a-pr16,search,AD27,3905,0.5,4
AD33_d02_apr16,a-pr16,search,AD33,1938,0,3
AD34_d02_apr14,a-pr14,search,AD34,5587,0,3
AD35_d06_apr26,a-pr26,search,AD35,4535,-0.5,2
AD29_d12_apr23,a-pr23,search,AD29,3472,-0.5,2
AD24_d03_apr26,a-pr26,search,AD24,1660,-0.5,2
AD35_d04_apr22,a-pr22,search,AD35,3360,0.5,4
AD30_d07_apr16,a-pr16,search,AD30,6965,0.5,4
AD29_d08_apr16,a-pr16,search,AD29,3762,0.5,4
AD27_d03_apr13,a-pr13,search,AD27,1199,0.5,4
AD36_d01_apr13,a-pr13,search,AD36,1201,-0.5,2
AD30_d06_apr22,a-pr22,search,AD30,2139,-0.5,2
AD29_d05_apr21,a-pr21,search,AD29,1928,0.5,4
AD35_d08_apr05,a-pr5,search,AD35,2119,0,3
AD31_d11_apr14,a-pr14,search,AD31,2436,0.5,4
AD26_d11_apr14,a-pr14,search,AD26,2423,0,3
AD35_d05_apr06,a-pr6,search,AD35,2462,0,3
AD24_d07_apr30,a-pr30,search,AD24,4184,0.5,4
AD27_d06_apr19,a-pr19,search,AD27,2862,0.5,4
AD25_d10_apr04,a-pr4,search,AD25,5698,-0.5,2
AD30_d05_apr01,a-pr1,search,AD30,4294,-0.5,2
AD29_d11_apr10,a-pr10,search,AD29,1620,-0.5,2
AD30_d03_apr10,a-pr10,search,AD30,1522,-0.5,2
AD31_d08_apr06,a-pr6,search,AD31,5884,0,3
