trial,start,end,x,y,mad.x,mad.y,peak.vx,peak.vy,dur,event,participant,image
2,322.8942333,323.1480766,1337,712,2.9652,4.4478,5.5,5.5,253.84330000088102,fixation,AD02,a-pr22.png
2,323.1921372,323.3421776,1294,583,4.4478,4.4478,3,3.5,150.0404,fixation,AD02,a-pr22.png
2,323.3780141,324.0618594,1591,630,4.4478,1.4826,-4,-3,683.8453,fixation,AD02,a-pr22.png
2,324.0858279,324.2497451,1586,691,2.9652,1.4826,3,3,163.9172,fixation,AD02,a-pr22.png
2,324.2717202,324.3154875,1620,617,2.2239,1.4826,2.5,2,43.7673,fixation,AD02,a-pr22.png
3,333.9717777,334.0698082,1265,707,1.4826,2.9652,2.5,-7,98.0305,fixation,AD02,a-pr1.png
3,334.0737743,334.1238422,1264,707,1.4826,1.4826,1.5,3,50.0679,fixation,AD02,a-pr1.png
3,334.1457341,334.1737476,1265,708,1.4826,2.9652,2.5,-5.5,28.013499999360597,fixation,AD02,a-pr1.png
3,334.1977057,334.3796257,1071,677,2.9652,4.4478,-4,-4.5,181.92,fixation,AD02,a-pr1.png
3,334.3815636,334.4614951,1071,678,1.4826,2.9652,-5,-4,79.9315,fixation,AD02,a-pr1.png
3,334.5034912,334.6589993,1491,713.5,4.4478,3.7065,5,2.5,155.50809999876898,fixation,AD02,a-pr1.png
3,334.6691212,334.7974128,1434.5,723,2.2239,2.9652,-2,4.5,128.2916,fixation,AD02,a-pr1.png
3,334.8509444,334.9734138,1007,583,2.9652,1.4826,3,-1.5,122.46940000022701,fixation,AD02,a-pr1.png
3,335.0212939,335.1729874,1502,714,1.4826,2.9652,-4.5,2.5,151.6935,fixation,AD02,a-pr1.png
3,335.1830096,335.3429201,1455,720,4.4478,4.4478,-4,3,159.91050000047798,fixation,AD02,a-pr1.png
3,335.3548187,336.0796043,1411,707,4.4478,2.9652,3.5,3.5,724.7856,fixation,AD02,a-pr1.png
3,336.0808612,336.1594658,1407,704,4.4478,2.9652,-3,-4,78.6046,fixation,AD02,a-pr1.png
4,345.8222027,345.9570979,1270,713,2.9652,2.9652,3.5,4,134.89519999893702,fixation,AD02,a-pr19.png
4,345.9611387,345.9890813,1266,715,1.4826,2.9652,2,5,27.9426,fixation,AD02,a-pr19.png
4,345.991026,346.1070485,1266,715,1.4826,4.4478,3,-4.5,116.0225,fixation,AD02,a-pr19.png
4,346.1330525,346.2111245,1377,616,4.4478,1.4826,-3,-3.5,78.072,fixation,AD02,a-pr19.png
4,346.2201685,346.3601817,1374,615,2.9652,2.9652,-2.5,4,140.01319999988502,fixation,AD02,a-pr19.png
4,346.3842808,346.4022539,1217,722,4.4478,5.9304,-5,5,17.9731,fixation,AD02,a-pr19.png
4,346.4062223,346.4741913,1211,729,2.9652,3.7065,3,-3,67.969,fixation,AD02,a-pr19.png
4,346.5190821,346.7610691,1629,670,1.4826,1.4826,4,2.5,241.987,fixation,AD02,a-pr19.png
4,346.7750394,347.4642512,1640,695,4.4478,7.413,4,3.5,689.2118,fixation,AD02,a-pr19.png
4,347.6546861,347.8605519,1628,696,2.9652,2.9652,-3,4,205.8658,fixation,AD02,a-pr19.png
5,357.4900202,357.575953,1252,729,2.9652,1.4826,3,-3,85.9328,fixation,AD02,a-pr13.png
5,357.5778896,357.7258796,1256,729,2.9652,2.9652,3,-4.5,147.99,fixation,AD02,a-pr13.png
5,357.7637668,357.9756842,882,701.5,4.4478,3.7065,-5.5,-2,211.9174,fixation,AD02,a-pr13.png
5,357.9996579,358.1480586,863,727,2.9652,1.4826,-3.5,2,148.4007,fixation,AD02,a-pr13.png
5,358.1621589,358.3860216,811,704,2.9652,2.9652,-6.5,-2.5,223.8627,fixation,AD02,a-pr13.png
5,358.4179473,358.4561479,1162,687,4.4478,2.9652,5,5,38.2006,fixation,AD02,a-pr13.png
5,358.4577291,358.6098586,1162.5,687,5.1891,2.9652,-3.5,-4,152.1295,fixation,AD02,a-pr13.png
5,358.6298227,358.8934489,1301,725.5,5.9304,5.1891,3,5,263.6262,fixation,AD02,a-pr13.png
5,358.9334684,359.5658083,1142,718,2.9652,2.9652,-5,4,632.3399,fixation,AD02,a-pr13.png
5,359.5957917,359.7596359,943,683,2.9652,1.4826,-2.5,-3,163.8442,fixation,AD02,a-pr13.png
5,359.7736167,359.9295031,874,710,4.4478,2.9652,-4.5,2,155.8864,fixation,AD02,a-pr13.png
5,359.9415164,360.1414049,841,687,2.9652,1.4826,-5,-2.5,199.8885,fixation,AD02,a-pr13.png
5,360.1634911,360.874005,785,665,2.9652,2.9652,-5,-2.5,710.5139,fixation,AD02,a-pr13.png
5,360.8941149,361.0979287,907,720,4.4478,2.9652,3,2.5,203.8138,fixation,AD02,a-pr13.png
5,361.1472471,361.3719526,1562,710,4.4478,1.4826,4.5,-2.5,224.70550000161901,fixation,AD02,a-pr13.png
5,361.3918811,361.5137919,1387,693,2.9652,1.4826,-4.5,-2.5,121.9108,fixation,AD02,a-pr13.png
5,361.517767,361.5976865,1386,691,1.4826,1.4826,-5,2.5,79.9195,fixation,AD02,a-pr13.png
5,361.605653,361.8156002,1419,698,4.4478,1.4826,4,3.5,209.94719999907798,fixation,AD02,a-pr13.png
6,371.620883,371.7168339,1276,730,1.4826,2.9652,3,4.5,95.9509,fixation,AD02,a-pr21.png
6,371.7568074,371.7708284,1274,724,0,2.9652,-2.5,-4.5,14.021,fixation,AD02,a-pr21.png
6,371.8107251,371.9787652,1044.5,666,2.2239,2.9652,5.5,-3.5,168.0401,fixation,AD02,a-pr21.png
6,371.9966955,372.3986095,955,709,2.9652,2.9652,-4,3,401.914,fixation,AD02,a-pr21.png
6,372.4225696,372.5425702,952,734,1.4826,2.9652,3.5,3,120.0006,fixation,AD02,a-pr21.png
6,372.5527558,372.9285827,936,700,4.4478,4.4478,-3.5,-4,375.8269,fixation,AD02,a-pr21.png
6,372.9625493,373.1614601,1218,662,2.9652,4.4478,5,4,198.9108,fixation,AD02,a-pr21.png
6,373.1714792,373.2645865,1159,681,2.9652,2.9652,-2.5,6.5,93.1073,fixation,AD02,a-pr21.png
6,373.2686929,373.3225829,1153,681,1.4826,2.9652,-3,3,53.89,fixation,AD02,a-pr21.png
6,373.362576,373.5574372,1656,729,4.4478,1.4826,6.5,3.5,194.86120000056002,fixation,AD02,a-pr21.png
6,373.5594152,373.6193826,1657,729.5,1.4826,0.7413,-2,-3,59.9674,fixation,AD02,a-pr21.png
6,375.2164645,375.2264353,938,705,1.4826,1.4826,-1.5,-1,9.970800001,fixation,AD02,a-pr21.png
7,383.2521656,383.3581497,1275,730,1.4826,1.4826,2.5,2.5,105.9841,fixation,AD02,a-pr26.png
7,383.4184246,383.4320999,1298,721,2.9652,2.9652,2.5,-5,13.6753,fixation,AD02,a-pr26.png
7,383.4400873,383.5301706,1292,730,2.9652,4.4478,3,3.5,90.0833,fixation,AD02,a-pr26.png
7,383.5719603,383.688041,1071,695,1.4826,1.4826,4.5,-3,116.0807,fixation,AD02,a-pr26.png
7,383.7020778,383.8627539,1096,732,2.9652,1.4826,3.5,5.5,160.6761,fixation,AD02,a-pr26.png
7,383.8727079,383.9667325,1104,727,2.9652,1.4826,-2,5,94.0246,fixation,AD02,a-pr26.png
7,383.9687184,384.0227223,1103,731,1.4826,2.9652,-5.5,-4.5,54.0039,fixation,AD02,a-pr26.png
7,384.0687334,384.2266185,1582,759,1.4826,1.4826,4,4,157.8851,fixation,AD02,a-pr26.png
7,384.2286683,384.4604074,1586,758,2.9652,1.4826,2.5,-3.5,231.7391,fixation,AD02,a-pr26.png
7,384.5040062,384.6819299,1116,723,5.9304,2.9652,-5.5,-3,177.9237,fixation,AD02,a-pr26.png
7,384.6978934,385.358197,1085,741,2.9652,2.9652,-3,3.5,660.3036,fixation,AD02,a-pr26.png
8,395.0756012,395.1573898,1320,709,1.4826,1.4826,3,4,81.7886,fixation,AD02,a-pr16.png
8,395.1654329,395.2493936,1316.5,708,2.2239,2.9652,2.5,-5.5,83.9607,fixation,AD02,a-pr16.png
8,395.2514163,395.3033212,1318.5,710.5,2.2239,2.2239,5.5,3,51.9049,fixation,AD02,a-pr16.png
8,395.3413456,395.5812067,983,687,2.9652,1.4826,-5.5,3.5,239.8611,fixation,AD02,a-pr16.png
8,395.6272618,395.8392879,1698,632,4.4478,1.4826,-5.5,-2.5,212.02610000091198,fixation,AD02,a-pr16.png
8,395.8492957,396.0911759,1747,621,4.4478,1.4826,6,-2,241.8802,fixation,AD02,a-pr16.png
8,396.1031343,396.459558,1774,643,4.4478,4.4478,4,-2.5,356.4237,fixation,AD02,a-pr16.png
8,396.4712888,397.4157319,1738,596,5.9304,2.9652,-4.5,3,944.4431,fixation,AD02,a-pr16.png
8,397.4334425,397.6433053,1734,648,4.4478,1.4826,-3,2,209.8628,fixation,AD02,a-pr16.png
